FACULTY,DEPARTMENT,PROGRAM,PROGRAM ID,SEMESTER_INDEX,COURSE_CODE,COURSE_TITLE,COURSE_UNITS,COURSE_TYPE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,1,BOD0101,Biblical Studies,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,1,BOD0102,Systematic Theology,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,1,BOD0103,Church History,4,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,1,BOD0104,Christian Ethics,2,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,1,BOD0105,Homiletics,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,1,BOD0106,Pastoral Theology,3,ELECTIVE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,2,BOD0201,Old Testament Survey,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,2,BOD0202,New Testament Survey,4,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,2,BOD0203,Missiology,2,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,2,BOD0204,Leadership in Ministry,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,2,BOD0205,Spiritual Formation,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,2,BOD0206,Biblical Hebrew,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,2,BOD0207,Biblical Greek,4,ELECTIVE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,3,BOD0301,Hermeneutics,4,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,3,BOD0302,Counselling in Ministry,2,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,3,BOD0303,Worship and Liturgy,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,3,BOD0304,Research Methods in Theology,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,3,BOD0305,Field Education,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,3,BOD0306,Dissertation,4,ELECTIVE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,4,BOD0401,Biblical Studies 2,2,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,4,BOD0402,Systematic Theology 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,4,BOD0403,Church History 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,4,BOD0404,Christian Ethics 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,4,BOD0405,Homiletics 2,4,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,4,BOD0406,Pastoral Theology 2,2,CORE
