REG_NO,ACC_NO,PROGRAM,ACADEMIC_YEAR,SEMESTER,SEMESTER_INDEX,COURSES_REGISTERED,TOTAL_CREDITS,QUALITY_POINTS,PASSED_COURSES,FAILED_COURSES,FCW_COUNT,FEX_COUNT,MEX_COUNT,SEMESTER_GPA
J22B44/001,A10919,Bachelor of Science in Data Science and Analytics,2022/2023,SEM1,1,6,18,32.0,2,4,0,4,0,1.78
J22B44/001,A10919,Bachelor of Science in Data Science and Analytics,2022/2023,SEM2,2,7,22,52.0,6,1,0,1,0,2.36
J22B44/001,A10919,Bachelor of Science in Data Science and Analytics,2023/2024,SEM1,3,6,19,52.5,4,2,0,2,0,2.76
J22B44/001,A10919,Bachelor of Science in Data Science and Analytics,2023/2024,SEM2,4,7,20,52.0,5,2,1,1,0,2.6
J22B44/001,A10919,Bachelor of Science in Data Science and Analytics,2024/2025,SEM1,5,6,18,40.0,2,4,1,2,1,2.22
J22B44/001,A10919,Bachelor of Science in Data Science and Analytics,2024/2025,SEM2,6,7,21,46.0,5,2,0,2,0,2.19
J22B44/001,A10919,Bachelor of Science in Data Science and Analytics,2025/2026,SEM1,7,6,18,42.0,3,3,2,1,0,2.33
J22B44/001,A10919,Bachelor of Science in Data Science and Analytics,2025/2026,SEM2,8,7,21,45.5,3,4,0,4,0,2.17
J22B44/005,A10969,Bachelor of Science in Data Science and Analytics,2022/2023,SEM1,1,6,18,49.0,5,1,0,1,0,2.72
J22B44/005,A10969,Bachelor of Science in Data Science and Analytics,2022/2023,SEM2,2,7,22,65.5,6,1,0,1,0,2.98
J22B44/005,A10969,Bachelor of Science in Data Science and Analytics,2023/2024,SEM1,3,6,19,68.0,5,1,0,1,0,3.58
J22B44/005,A10969,Bachelor of Science in Data Science and Analytics,2023/2024,SEM2,4,7,20,53.5,3,4,1,2,1,2.68
J22B44/005,A10969,Bachelor of Science in Data Science and Analytics,2024/2025,SEM1,5,6,18,70.0,6,0,0,0,0,3.89
J22B44/005,A10969,Bachelor of Science in Data Science and Analytics,2024/2025,SEM2,6,7,21,72.5,5,2,0,1,1,3.45
J22B44/005,A10969,Bachelor of Science in Data Science and Analytics,2025/2026,SEM1,7,6,18,51.5,4,2,1,0,1,2.86
J22B44/005,A10969,Bachelor of Science in Data Science and Analytics,2025/2026,SEM2,8,7,21,68.5,7,0,0,0,0,3.26
J22B44/008,A11000,Bachelor of Science in Data Science and Analytics,2022/2023,SEM1,1,6,18,79.5,6,0,0,0,0,4.42
J22B44/008,A11000,Bachelor of Science in Data Science and Analytics,2022/2023,SEM2,2,7,22,100.0,7,0,0,0,0,4.55
J22B44/008,A11000,Bachelor of Science in Data Science and Analytics,2023/2024,SEM1,3,6,19,81.5,6,0,0,0,0,4.29
J22B44/008,A11000,Bachelor of Science in Data Science and Analytics,2023/2024,SEM2,4,7,20,61.5,6,1,1,0,0,3.08
J22B44/008,A11000,Bachelor of Science in Data Science and Analytics,2024/2025,SEM1,5,6,18,66.5,5,1,1,0,0,3.69
J22B44/008,A11000,Bachelor of Science in Data Science and Analytics,2024/2025,SEM2,6,7,21,86.5,7,0,0,0,0,4.12
J22B44/008,A11000,Bachelor of Science in Data Science and Analytics,2025/2026,SEM1,7,6,18,58.0,3,3,0,1,2,3.22
J22B44/008,A11000,Bachelor of Science in Data Science and Analytics,2025/2026,SEM2,8,7,21,92.5,7,0,0,0,0,4.4
J22B44/010,A11012,Bachelor of Science in Data Science and Analytics,2022/2023,SEM1,1,6,18,72.0,5,1,1,0,0,4.0
J22B44/010,A11012,Bachelor of Science in Data Science and Analytics,2022/2023,SEM2,2,7,22,56.5,5,2,1,1,0,2.57
J22B44/010,A11012,Bachelor of Science in Data Science and Analytics,2023/2024,SEM1,3,6,19,47.0,3,3,2,0,1,2.47
J22B44/010,A11012,Bachelor of Science in Data Science and Analytics,2023/2024,SEM2,4,7,20,67.5,6,1,0,1,0,3.38
J22B44/010,A11012,Bachelor of Science in Data Science and Analytics,2024/2025,SEM1,5,6,18,38.0,4,2,0,2,0,2.11
J22B44/010,A11012,Bachelor of Science in Data Science and Analytics,2024/2025,SEM2,6,7,21,75.5,6,1,0,1,0,3.6
J22B44/010,A11012,Bachelor of Science in Data Science and Analytics,2025/2026,SEM1,7,6,18,45.0,4,2,1,1,0,2.5
J22B44/010,A11012,Bachelor of Science in Data Science and Analytics,2025/2026,SEM2,8,7,21,73.0,6,1,0,1,0,3.48
J22B44/012,A11020,Bachelor of Science in Data Science and Analytics,2022/2023,SEM1,1,6,18,70.5,4,2,2,0,0,3.92
J22B44/012,A11020,Bachelor of Science in Data Science and Analytics,2022/2023,SEM2,2,7,22,96.5,7,0,0,0,0,4.39
J22B44/012,A11020,Bachelor of Science in Data Science and Analytics,2023/2024,SEM1,3,6,19,73.5,6,0,0,0,0,3.87
J22B44/012,A11020,Bachelor of Science in Data Science and Analytics,2023/2024,SEM2,4,7,20,95.5,7,0,0,0,0,4.78
J22B44/012,A11020,Bachelor of Science in Data Science and Analytics,2024/2025,SEM1,5,6,18,87.0,6,0,0,0,0,4.83
J22B44/012,A11020,Bachelor of Science in Data Science and Analytics,2024/2025,SEM2,6,7,21,83.5,6,1,1,0,0,3.98
J22B44/012,A11020,Bachelor of Science in Data Science and Analytics,2025/2026,SEM1,7,6,18,78.5,6,0,0,0,0,4.36
J22B44/012,A11020,Bachelor of Science in Data Science and Analytics,2025/2026,SEM2,8,7,21,92.0,7,0,0,0,0,4.38
J22B45/001,A10818,Bachelor of Science in Computer Science,2022/2023,SEM1,1,6,18,72.5,6,0,0,0,0,4.03
J22B45/001,A10818,Bachelor of Science in Computer Science,2022/2023,SEM2,2,7,22,100.5,7,0,0,0,0,4.57
J22B45/001,A10818,Bachelor of Science in Computer Science,2023/2024,SEM1,3,6,19,81.0,6,0,0,0,0,4.26
J22B45/001,A10818,Bachelor of Science in Computer Science,2023/2024,SEM2,4,7,20,84.5,7,0,0,0,0,4.22
J22B45/001,A10818,Bachelor of Science in Computer Science,2024/2025,SEM1,5,6,18,68.0,6,0,0,0,0,3.78
J22B45/001,A10818,Bachelor of Science in Computer Science,2024/2025,SEM2,6,7,21,77.5,6,1,1,0,0,3.69
J22B45/001,A10818,Bachelor of Science in Computer Science,2025/2026,SEM1,7,6,18,64.0,5,1,1,0,0,3.56
J22B45/001,A10818,Bachelor of Science in Computer Science,2025/2026,SEM2,8,7,21,75.0,6,1,0,1,0,3.57
J22B45/003,A10840,Bachelor of Science in Computer Science,2022/2023,SEM1,1,6,18,55.5,6,0,0,0,0,3.08
J22B45/003,A10840,Bachelor of Science in Computer Science,2022/2023,SEM2,2,7,22,57.5,6,1,0,1,0,2.61
