faculty_id,faculty_name,department_id,department_name,program_id,program_name
1,Bishop Tucker School of Divinity and Theology,1,Divinity and Theology,6,Bachelor of Divinity
1,Bishop Tucker School of Divinity and Theology,1,Divinity and Theology,5,Doctor of Ministry
1,Bishop Tucker School of Divinity and Theology,1,Divinity and Theology,2,Master of Arts in Theology
1,Bishop Tucker School of Divinity and Theology,1,Divinity and Theology,3,Master of Divinity
1,Bishop Tucker School of Divinity and Theology,1,Divinity and Theology,1,Master of Theological Studies
1,Bishop Tucker School of Divinity and Theology,1,Divinity and Theology,4,PhD in Theology
5,Faculty of Agricultural Sciences,6,Agricultural Science,39,Bachelor of Science in Agricultural Science and Entrepreneurship
5,Faculty of Agricultural Sciences,6,Agricultural Science,41,Bachelor of Science in Food Science and Technology
5,Faculty of Agricultural Sciences,6,Agricultural Science,40,Bachelor of Science in Human Nutrition and Clinical Dietetics
5,Faculty of Agricultural Sciences,6,Agricultural Science,36,Master of Science in Agribusiness Management and Entrepreneurship
5,Faculty of Agricultural Sciences,6,Agricultural Science,35,Master of Science in Agricultural Economics
5,Faculty of Agricultural Sciences,6,Agricultural Science,34,Master of Science in Agriculture (Rural Dev't | Crop Science | Soil Science)
5,Faculty of Agricultural Sciences,6,Agricultural Science,37,Master of Science in Human Nutrition
5,Faculty of Agricultural Sciences,6,Agricultural Science,38,PhD in Agricultural Systems and Value Chain Management
6,"Faculty of Engineering, Design & Technology",7,Computing,45,Bachelor of Science in Computer Science
6,"Faculty of Engineering, Design & Technology",7,Computing,44,Bachelor of Science in Data Science and Analytics
6,"Faculty of Engineering, Design & Technology",7,Computing,46,Bachelor of Science in Information Technology
6,"Faculty of Engineering, Design & Technology",7,Computing,47,Diploma in Information Technology
6,"Faculty of Engineering, Design & Technology",7,Computing,43,Master of Information Technology
6,"Faculty of Engineering, Design & Technology",7,Computing,42,Master of Science in Computer Science
6,"Faculty of Engineering, Design & Technology",9,Engineering,55,Bachelor of Electronics and Communication Science
6,"Faculty of Engineering, Design & Technology",9,Engineering,54,Bachelor of Science in Civil and Environmental Engineering
6,"Faculty of Engineering, Design & Technology",9,Engineering,52,Master of Science in Data Science and Analytics
6,"Faculty of Engineering, Design & Technology",9,Engineering,53,Master of Science in Environmental Science & Management
6,"Faculty of Engineering, Design & Technology",9,Engineering,51,Master of Science in Water and Sanitation
6,"Faculty of Engineering, Design & Technology",9,Engineering,56,PGD Water and Sanitation
6,"Faculty of Engineering, Design & Technology",8,Visual Arts,50,Bachelor of Art in Graphic Design and Animation
