REG_NO,ACC_NO,PROGRAM,HIGH_SCHOOL,DISTRICT,SCHOOL_TIER,OWNERSHIP,STUDENT_LIST
J23B06/001,A10001,Bachelor of Divinity,Arua Public Secondary School,Arua,Tier 2,Public/Mixed,List15
J23B06/005,A10055,Bachelor of Divinity,Gomba Secondary School,Gomba,Tier 2,Public/Mixed,List15
J23B06/009,A10097,Bachelor of Divinity,St. Charles Lwanga Secondary School,Kasese,Tier 2,Private/Faith-based,List15
J24B06/001,A10004,Bachelor of Divinity,Tororo Girls School,Tororo,Tier 2,Private/Faith-based,List15
J24B06/003,A10014,Bachelor of Divinity,St. Leo's College Fort Portal,Fort Portal,Tier 2,Private/Faith-based,List15
J24B06/005,A10035,Bachelor of Divinity,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed,List15
J24B06/007,A10040,Bachelor of Divinity,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,List15
J24B06/009,A10046,Bachelor of Divinity,Iganga Secondary School,Iganga,Tier 2,Public/Mixed,List15
J24B06/011,A10065,Bachelor of Divinity,Lyantonde Secondary School,Lyantonde,Tier 2,Public/Mixed,List15
J24B06/013,A10076,Bachelor of Divinity,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,List15
J24B06/015,A10081,Bachelor of Divinity,Hoima Secondary School,Hoima,Tier 2,Public/Mixed,List15
J24B06/018,A10115,Bachelor of Divinity,Kibale Secondary School,Kibale,Tier 2,Public/Mixed,List15
J25B06/002,A10030,Bachelor of Divinity,Pakwach Secondary School,Nebbi,Tier 2,Public/Mixed,List15
J25B06/004,A10038,Bachelor of Divinity,Nabisunsa Girls School,Kampala,Tier 1,Private/Faith-based,List15
J25B06/007,A10056,Bachelor of Divinity,Kalungu Secondary School,Kalungu,Tier 2,Public/Mixed,List15
J25B06/009,A10074,Bachelor of Divinity,Nebbi Secondary School,Nebbi,Tier 2,Public/Mixed,List15
J25B06/011,A10094,Bachelor of Divinity,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based,List15
KJ23B06/003,A10026,Bachelor of Divinity,Kyegegwa Secondary School,Kyegegwa,Tier 2,Public/Mixed,List15
KJ23B06/006,A10084,Bachelor of Divinity,St. Lawrence Schools,Kampala,Tier 2,Private/Faith-based,List15
KJ24B06/016,A10099,Bachelor of Divinity,Ngora High School,Soroti,Tier 2,Private/Faith-based,List15
KM23B06/005,A10028,Bachelor of Divinity,Kyenjojo Secondary School,Kyenjojo,Tier 2,Public/Mixed,List15
KM23B06/012,A10087,Bachelor of Divinity,St. Mary's College Kisubi,Kampala,Tier 1,Private/Faith-based,List15
KM24B06/006,A10080,Bachelor of Divinity,Mbarara High School,Mbarara,Tier 1,Private/Faith-based,List15
KM25B06/003,A10027,Bachelor of Divinity,St. Joseph's Layibi,Gulu,Tier 2,Private/Faith-based,List15
KS23B06/014,A10112,Bachelor of Divinity,Kiboga Secondary School,Kiboga,Tier 2,Public/Mixed,List15
KS24B06/012,A10078,Bachelor of Divinity,St. Mary's College Rushoroza,Kabarole,Tier 2,Private/Faith-based,List15
M23B06/001,A10009,Bachelor of Divinity,St. Joseph's Layibi,Gulu,Tier 2,Private/Faith-based,List15
M23B06/003,A10019,Bachelor of Divinity,St. Joseph's Layibi,Gulu,Tier 2,Private/Faith-based,List15
M23B06/006,A10047,Bachelor of Divinity,Gulu High School,Gulu,Tier 2,Private/Faith-based,List15
M23B06/009,A10054,Bachelor of Divinity,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based,List15
M23B06/011,A10073,Bachelor of Divinity,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,List15
