SPONSOR_PAYMENT_ID,REG_NO,ACC_NO,PROGRAM,SPONSOR_NAME,SCHOLARSHIP_TYPE,ACADEMIC_YEAR,SEMESTER,SEMESTER_INDEX,AMOUNT_SPONSORED_UGX,DISBURSEMENT_DATE,SPONSOR_REFERENCE,STATUS
SP0000001,J23B06/002,A10006,Bachelor of Divinity,Alumni Foundation,FULL_SCHOLARSHIP,2023/2024,SEM1,1,2250147,2023-02-27,I2XZE9OESK,APPROVED
SP0000002,J23B06/002,A10006,Bachelor of Divinity,Alumni Foundation,FULL_SCHOLARSHIP,2023/2024,SEM2,2,3944930,2023-06-04,JTTT7NMSR4,APPROVED
SP0000003,J23B06/002,A10006,Bachelor of Divinity,Alumni Foundation,FULL_SCHOLARSHIP,2024/2025,SEM1,3,3500321,2024-02-25,V3SJHBC4AI,APPROVED
SP0000004,J23B06/002,A10006,Bachelor of Divinity,Alumni Foundation,FULL_SCHOLARSHIP,2024/2025,SEM2,4,1596111,2024-05-30,YB4EZZ1EAA,APPROVED
SP0000005,J23B06/002,A10006,Bachelor of Divinity,Alumni Foundation,FULL_SCHOLARSHIP,2025/2026,SEM1,5,2950406,2025-02-09,8JVERFD8C5,APPROVED
SP0000006,J23B06/002,A10006,Bachelor of Divinity,Alumni Foundation,FULL_SCHOLARSHIP,2025/2026,SEM2,6,2930120,2025-05-22,2OU3S8I5A1,PENDING
SP0000007,J23B06/008,A10090,Bachelor of Divinity,NGO Education Fund,FULL_SCHOLARSHIP,2023/2024,SEM1,1,1398312,2023-01-24,6TD5B7K3J7,APPROVED
SP0000008,J23B06/008,A10090,Bachelor of Divinity,NGO Education Fund,FULL_SCHOLARSHIP,2023/2024,SEM2,2,3159141,2023-06-06,7KYGLZIDH6,PENDING
SP0000009,J23B06/008,A10090,Bachelor of Divinity,NGO Education Fund,FULL_SCHOLARSHIP,2024/2025,SEM1,3,3107071,2024-01-15,A766R736FJ,APPROVED
SP0000010,J23B06/008,A10090,Bachelor of Divinity,NGO Education Fund,FULL_SCHOLARSHIP,2024/2025,SEM2,4,2303287,2024-05-15,7MBUYHYGDZ,PENDING
SP0000011,J23B06/008,A10090,Bachelor of Divinity,NGO Education Fund,FULL_SCHOLARSHIP,2025/2026,SEM1,5,1518999,2025-01-23,B4409FEWY2,PENDING
SP0000012,J23B06/008,A10090,Bachelor of Divinity,NGO Education Fund,FULL_SCHOLARSHIP,2025/2026,SEM2,6,1585343,2025-06-20,PWUN7QXIC6,APPROVED
SP0000013,J23B06/010,A10109,Bachelor of Divinity,NGO Education Fund,MERIT_BASED_AID,2023/2024,SEM1,1,1503984,2023-02-25,KDJ7NIM74F,PENDING
SP0000014,J23B06/010,A10109,Bachelor of Divinity,NGO Education Fund,MERIT_BASED_AID,2023/2024,SEM2,2,1567640,2023-05-11,V9K913RGZX,APPROVED
SP0000015,J23B06/010,A10109,Bachelor of Divinity,NGO Education Fund,MERIT_BASED_AID,2024/2025,SEM1,3,3614174,2024-01-29,Z0ZY31A9X0,APPROVED
SP0000016,J23B06/010,A10109,Bachelor of Divinity,NGO Education Fund,MERIT_BASED_AID,2024/2025,SEM2,4,2444524,2024-06-13,ZFWURMKIHH,PENDING
SP0000017,J23B06/010,A10109,Bachelor of Divinity,NGO Education Fund,MERIT_BASED_AID,2025/2026,SEM1,5,3846543,2025-02-03,V6FWTQVQAT,APPROVED
SP0000018,J23B06/010,A10109,Bachelor of Divinity,NGO Education Fund,MERIT_BASED_AID,2025/2026,SEM2,6,1171162,2025-05-14,MY0O5QDOIT,PENDING
SP0000019,J24B06/002,A10012,Bachelor of Divinity,Government Sponsorship,PARTIAL_SCHOLARSHIP,2024/2025,SEM1,1,1756266,2024-02-14,REGAI22NRX,PENDING
SP0000020,J24B06/002,A10012,Bachelor of Divinity,Government Sponsorship,PARTIAL_SCHOLARSHIP,2024/2025,SEM2,2,2450491,2024-05-30,9TIB2WOZUH,APPROVED
SP0000021,J24B06/002,A10012,Bachelor of Divinity,Government Sponsorship,PARTIAL_SCHOLARSHIP,2025/2026,SEM1,3,867682,2025-02-15,VLB54F6M1L,APPROVED
SP0000022,J24B06/002,A10012,Bachelor of Divinity,Government Sponsorship,PARTIAL_SCHOLARSHIP,2025/2026,SEM2,4,1146433,2025-05-31,EWNUM1PX8P,APPROVED
SP0000023,J24B06/002,A10012,Bachelor of Divinity,Government Sponsorship,PARTIAL_SCHOLARSHIP,2026/2027,SEM1,5,2507987,2026-01-24,NAQ905639W,APPROVED
SP0000024,J24B06/004,A10018,Bachelor of Divinity,NGO Education Fund,MERIT_BASED_AID,2024/2025,SEM1,1,938803,2024-01-10,LLSR2OMT87,APPROVED
SP0000025,J24B06/004,A10018,Bachelor of Divinity,NGO Education Fund,MERIT_BASED_AID,2024/2025,SEM2,2,1940040,2024-06-08,E6NZ3ORRES,PENDING
SP0000026,J24B06/004,A10018,Bachelor of Divinity,NGO Education Fund,MERIT_BASED_AID,2025/2026,SEM1,3,1731823,2025-02-13,FZWBLD6ZHI,APPROVED
SP0000027,J24B06/004,A10018,Bachelor of Divinity,NGO Education Fund,MERIT_BASED_AID,2025/2026,SEM2,4,1296380,2025-06-03,PV0OMIXK32,APPROVED
SP0000028,J24B06/004,A10018,Bachelor of Divinity,NGO Education Fund,MERIT_BASED_AID,2026/2027,SEM1,5,1776567,2026-01-31,MCS83IE9KL,APPROVED
SP0000029,J24B06/006,A10039,Bachelor of Divinity,NGO Education Fund,NEED_BASED_AID,2024/2025,SEM1,1,3086399,2024-02-17,RY7O4LL9DQ,APPROVED
SP0000030,J24B06/006,A10039,Bachelor of Divinity,NGO Education Fund,NEED_BASED_AID,2024/2025,SEM2,2,1114985,2024-06-28,ERUIDW4QBP,PENDING
SP0000031,J24B06/006,A10039,Bachelor of Divinity,NGO Education Fund,NEED_BASED_AID,2025/2026,SEM1,3,2620802,2025-02-15,Y71F5A6Z7L,APPROVED
SP0000032,J24B06/006,A10039,Bachelor of Divinity,NGO Education Fund,NEED_BASED_AID,2025/2026,SEM2,4,1718827,2025-05-27,NFVGB6Q7PY,APPROVED
SP0000033,J24B06/006,A10039,Bachelor of Divinity,NGO Education Fund,NEED_BASED_AID,2026/2027,SEM1,5,3506103,2026-01-31,NSKMZKROM6,APPROVED
SP0000034,J24B06/008,A10041,Bachelor of Divinity,Government Sponsorship,NEED_BASED_AID,2024/2025,SEM1,1,837666,2024-02-10,H2G93GW00Q,APPROVED
SP0000035,J24B06/008,A10041,Bachelor of Divinity,Government Sponsorship,NEED_BASED_AID,2024/2025,SEM2,2,1502872,2024-06-16,I7SLSRV19U,APPROVED
SP0000036,J24B06/008,A10041,Bachelor of Divinity,Government Sponsorship,NEED_BASED_AID,2025/2026,SEM1,3,2083840,2025-02-19,PAAQOEUEKD,PENDING
SP0000037,J24B06/008,A10041,Bachelor of Divinity,Government Sponsorship,NEED_BASED_AID,2025/2026,SEM2,4,978452,2025-06-27,6L0GHV7Y0X,PENDING
SP0000038,J24B06/008,A10041,Bachelor of Divinity,Government Sponsorship,NEED_BASED_AID,2026/2027,SEM1,5,1417011,2026-01-31,2O87N7IGWQ,APPROVED
SP0000039,J24B06/010,A10060,Bachelor of Divinity,Private Sponsor,TUITION_WAIVER,2024/2025,SEM1,1,1684566,2024-01-21,2QAMR71K0C,APPROVED
SP0000040,J24B06/010,A10060,Bachelor of Divinity,Private Sponsor,TUITION_WAIVER,2024/2025,SEM2,2,2011040,2024-06-01,BUR9FX3WLA,PENDING
SP0000041,J24B06/010,A10060,Bachelor of Divinity,Private Sponsor,TUITION_WAIVER,2025/2026,SEM1,3,1752561,2025-02-17,U2A39CD7JO,APPROVED
SP0000042,J24B06/010,A10060,Bachelor of Divinity,Private Sponsor,TUITION_WAIVER,2025/2026,SEM2,4,1000894,2025-05-26,W89AV2QF08,APPROVED
SP0000043,J24B06/010,A10060,Bachelor of Divinity,Private Sponsor,TUITION_WAIVER,2026/2027,SEM1,5,2870705,2026-01-31,2J6X2XA6LV,APPROVED
SP0000044,J24B06/012,A10069,Bachelor of Divinity,Corporate Scholarship,NEED_BASED_AID,2024/2025,SEM1,1,1283826,2024-01-26,25IK9AT9KB,APPROVED
SP0000045,J24B06/012,A10069,Bachelor of Divinity,Corporate Scholarship,NEED_BASED_AID,2024/2025,SEM2,2,2570408,2024-06-18,IPKH3ZHDXO,PENDING
SP0000046,J24B06/012,A10069,Bachelor of Divinity,Corporate Scholarship,NEED_BASED_AID,2025/2026,SEM1,3,1855028,2025-01-23,4WQFM4NKLU,APPROVED
SP0000047,J24B06/012,A10069,Bachelor of Divinity,Corporate Scholarship,NEED_BASED_AID,2025/2026,SEM2,4,1703859,2025-06-06,40FW191UPP,APPROVED
SP0000048,J24B06/012,A10069,Bachelor of Divinity,Corporate Scholarship,NEED_BASED_AID,2026/2027,SEM1,5,1083800,2026-01-31,UVCX6XO6P7,PENDING
SP0000049,J24B06/014,A10079,Bachelor of Divinity,Church Education Fund,MERIT_BASED_AID,2024/2025,SEM1,1,2523382,2024-01-27,AXYHI9HQY8,APPROVED
SP0000050,J24B06/014,A10079,Bachelor of Divinity,Church Education Fund,MERIT_BASED_AID,2024/2025,SEM2,2,2783244,2024-06-10,4PASVUVMCJ,APPROVED
SP0000051,J24B06/014,A10079,Bachelor of Divinity,Church Education Fund,MERIT_BASED_AID,2025/2026,SEM1,3,1012581,2025-02-07,R23B2RCULC,PENDING
SP0000052,J24B06/014,A10079,Bachelor of Divinity,Church Education Fund,MERIT_BASED_AID,2025/2026,SEM2,4,2042882,2025-06-21,DQH3FUVGUN,PENDING
SP0000053,J24B06/017,A10110,Bachelor of Divinity,Government Sponsorship,NEED_BASED_AID,2024/2025,SEM1,1,2069418,2024-02-13,40N1AI2LZZ,APPROVED
SP0000054,J24B06/017,A10110,Bachelor of Divinity,Government Sponsorship,NEED_BASED_AID,2024/2025,SEM2,2,1228269,2024-06-08,JRDF16TRNP,APPROVED
SP0000055,J24B06/017,A10110,Bachelor of Divinity,Government Sponsorship,NEED_BASED_AID,2025/2026,SEM1,3,1221383,2025-01-10,6UH6DQV1TQ,APPROVED
SP0000056,J24B06/017,A10110,Bachelor of Divinity,Government Sponsorship,NEED_BASED_AID,2025/2026,SEM2,4,3201461,2025-05-29,1YZW37LM8Z,APPROVED
SP0000057,J24B06/017,A10110,Bachelor of Divinity,Government Sponsorship,NEED_BASED_AID,2026/2027,SEM1,5,2342505,2026-01-31,34SW8FSXA1,APPROVED
SP0000058,J25B06/001,A10005,Bachelor of Divinity,Corporate Scholarship,PARTIAL_SCHOLARSHIP,2025/2026,SEM1,1,2349016,2025-01-21,LBXGLGD56Q,PENDING
SP0000059,J25B06/001,A10005,Bachelor of Divinity,Corporate Scholarship,PARTIAL_SCHOLARSHIP,2025/2026,SEM2,2,1114389,2025-06-29,D2UQH1YF22,APPROVED
SP0000060,J25B06/001,A10005,Bachelor of Divinity,Corporate Scholarship,PARTIAL_SCHOLARSHIP,2026/2027,SEM1,3,1669324,2026-01-17,ZM8J7Z2VRV,PENDING
SP0000061,J25B06/003,A10036,Bachelor of Divinity,International Education Grant,PARTIAL_SCHOLARSHIP,2025/2026,SEM1,1,942612,2025-02-21,LA7FMHV6I8,APPROVED
SP0000062,J25B06/003,A10036,Bachelor of Divinity,International Education Grant,PARTIAL_SCHOLARSHIP,2025/2026,SEM2,2,1710750,2025-06-06,24PD0XKMIK,APPROVED
SP0000063,J25B06/003,A10036,Bachelor of Divinity,International Education Grant,PARTIAL_SCHOLARSHIP,2026/2027,SEM1,3,1507393,2026-01-17,BL0T48G9F3,PENDING
