REG_NO,ACC_NO,PROGRAM,ACADEMIC_YEAR,SEMESTER,SEMESTER_INDEX,CREDITS_ATTEMPTED,QUALITY_POINTS,COURSES_COUNT,PASSED_COURSES,FAILED_COURSES,FCW_COUNT,FEX_COUNT,MEX_COUNT,CREDITS_PASSED,CREDITS_FAILED,SEMESTER_GPA,CUM_CREDITS_ATTEMPTED,CUM_CREDITS_PASSED,CUM_QUALITY_POINTS,CGPA
J22B44/001,A10919,Bachelor of Science in Data Science and Analytics,2022/2023,SEM1,1,18,32.0,6,2,4,0,4,0,6.0,12.0,1.78,18,6.0,32.0,1.78
J22B44/001,A10919,Bachelor of Science in Data Science and Analytics,2022/2023,SEM2,2,22,52.0,7,6,1,0,1,0,18.0,4.0,2.36,40,24.0,84.0,2.1
J22B44/001,A10919,Bachelor of Science in Data Science and Analytics,2023/2024,SEM1,3,19,52.5,6,4,2,0,2,0,12.0,7.0,2.76,59,36.0,136.5,2.31
J22B44/001,A10919,Bachelor of Science in Data Science and Analytics,2023/2024,SEM2,4,20,52.0,7,5,2,1,1,0,14.0,6.0,2.6,79,50.0,188.5,2.39
J22B44/001,A10919,Bachelor of Science in Data Science and Analytics,2024/2025,SEM1,5,18,40.0,6,2,4,1,2,1,6.0,12.0,2.22,97,56.0,228.5,2.36
J22B44/001,A10919,Bachelor of Science in Data Science and Analytics,2024/2025,SEM2,6,21,46.0,7,5,2,0,2,0,16.0,5.0,2.19,118,72.0,274.5,2.33
J22B44/001,A10919,Bachelor of Science in Data Science and Analytics,2025/2026,SEM1,7,18,42.0,6,3,3,2,1,0,10.0,8.0,2.33,136,82.0,316.5,2.33
J22B44/001,A10919,Bachelor of Science in Data Science and Analytics,2025/2026,SEM2,8,21,45.5,7,3,4,0,4,0,7.0,14.0,2.17,157,89.0,362.0,2.31
J22B44/005,A10969,Bachelor of Science in Data Science and Analytics,2022/2023,SEM1,1,18,49.0,6,5,1,0,1,0,14.0,4.0,2.72,18,14.0,49.0,2.72
J22B44/005,A10969,Bachelor of Science in Data Science and Analytics,2022/2023,SEM2,2,22,65.5,7,6,1,0,1,0,20.0,2.0,2.98,40,34.0,114.5,2.86
J22B44/005,A10969,Bachelor of Science in Data Science and Analytics,2023/2024,SEM1,3,19,68.0,6,5,1,0,1,0,15.0,4.0,3.58,59,49.0,182.5,3.09
J22B44/005,A10969,Bachelor of Science in Data Science and Analytics,2023/2024,SEM2,4,20,53.5,7,3,4,1,2,1,8.0,12.0,2.68,79,57.0,236.0,2.99
J22B44/005,A10969,Bachelor of Science in Data Science and Analytics,2024/2025,SEM1,5,18,70.0,6,6,0,0,0,0,18.0,0.0,3.89,97,75.0,306.0,3.15
J22B44/005,A10969,Bachelor of Science in Data Science and Analytics,2024/2025,SEM2,6,21,72.5,7,5,2,0,1,1,15.0,6.0,3.45,118,90.0,378.5,3.21
J22B44/005,A10969,Bachelor of Science in Data Science and Analytics,2025/2026,SEM1,7,18,51.5,6,4,2,1,0,1,12.0,6.0,2.86,136,102.0,430.0,3.16
J22B44/005,A10969,Bachelor of Science in Data Science and Analytics,2025/2026,SEM2,8,21,68.5,7,7,0,0,0,0,21.0,0.0,3.26,157,123.0,498.5,3.18
J22B44/008,A11000,Bachelor of Science in Data Science and Analytics,2022/2023,SEM1,1,18,79.5,6,6,0,0,0,0,18.0,0.0,4.42,18,18.0,79.5,4.42
J22B44/008,A11000,Bachelor of Science in Data Science and Analytics,2022/2023,SEM2,2,22,100.0,7,7,0,0,0,0,22.0,0.0,4.55,40,40.0,179.5,4.49
J22B44/008,A11000,Bachelor of Science in Data Science and Analytics,2023/2024,SEM1,3,19,81.5,6,6,0,0,0,0,19.0,0.0,4.29,59,59.0,261.0,4.42
J22B44/008,A11000,Bachelor of Science in Data Science and Analytics,2023/2024,SEM2,4,20,61.5,7,6,1,1,0,0,17.0,3.0,3.08,79,76.0,322.5,4.08
J22B44/008,A11000,Bachelor of Science in Data Science and Analytics,2024/2025,SEM1,5,18,66.5,6,5,1,1,0,0,15.0,3.0,3.69,97,91.0,389.0,4.01
J22B44/008,A11000,Bachelor of Science in Data Science and Analytics,2024/2025,SEM2,6,21,86.5,7,7,0,0,0,0,21.0,0.0,4.12,118,112.0,475.5,4.03
J22B44/008,A11000,Bachelor of Science in Data Science and Analytics,2025/2026,SEM1,7,18,58.0,6,3,3,0,1,2,10.0,8.0,3.22,136,122.0,533.5,3.92
J22B44/008,A11000,Bachelor of Science in Data Science and Analytics,2025/2026,SEM2,8,21,92.5,7,7,0,0,0,0,21.0,0.0,4.4,157,143.0,626.0,3.99
J22B44/010,A11012,Bachelor of Science in Data Science and Analytics,2022/2023,SEM1,1,18,72.0,6,5,1,1,0,0,15.0,3.0,4.0,18,15.0,72.0,4.0
J22B44/010,A11012,Bachelor of Science in Data Science and Analytics,2022/2023,SEM2,2,22,56.5,7,5,2,1,1,0,16.0,6.0,2.57,40,31.0,128.5,3.21
J22B44/010,A11012,Bachelor of Science in Data Science and Analytics,2023/2024,SEM1,3,19,47.0,6,3,3,2,0,1,10.0,9.0,2.47,59,41.0,175.5,2.97
J22B44/010,A11012,Bachelor of Science in Data Science and Analytics,2023/2024,SEM2,4,20,67.5,7,6,1,0,1,0,18.0,2.0,3.38,79,59.0,243.0,3.08
J22B44/010,A11012,Bachelor of Science in Data Science and Analytics,2024/2025,SEM1,5,18,38.0,6,4,2,0,2,0,12.0,6.0,2.11,97,71.0,281.0,2.9
J22B44/010,A11012,Bachelor of Science in Data Science and Analytics,2024/2025,SEM2,6,21,75.5,7,6,1,0,1,0,18.0,3.0,3.6,118,89.0,356.5,3.02
J22B44/010,A11012,Bachelor of Science in Data Science and Analytics,2025/2026,SEM1,7,18,45.0,6,4,2,1,1,0,12.0,6.0,2.5,136,101.0,401.5,2.95
J22B44/010,A11012,Bachelor of Science in Data Science and Analytics,2025/2026,SEM2,8,21,73.0,7,6,1,0,1,0,19.0,2.0,3.48,157,120.0,474.5,3.02
J22B44/012,A11020,Bachelor of Science in Data Science and Analytics,2022/2023,SEM1,1,18,70.5,6,4,2,2,0,0,13.0,5.0,3.92,18,13.0,70.5,3.92
J22B44/012,A11020,Bachelor of Science in Data Science and Analytics,2022/2023,SEM2,2,22,96.5,7,7,0,0,0,0,22.0,0.0,4.39,40,35.0,167.0,4.18
J22B44/012,A11020,Bachelor of Science in Data Science and Analytics,2023/2024,SEM1,3,19,73.5,6,6,0,0,0,0,19.0,0.0,3.87,59,54.0,240.5,4.08
J22B44/012,A11020,Bachelor of Science in Data Science and Analytics,2023/2024,SEM2,4,20,95.5,7,7,0,0,0,0,20.0,0.0,4.78,79,74.0,336.0,4.25
J22B44/012,A11020,Bachelor of Science in Data Science and Analytics,2024/2025,SEM1,5,18,87.0,6,6,0,0,0,0,18.0,0.0,4.83,97,92.0,423.0,4.36
J22B44/012,A11020,Bachelor of Science in Data Science and Analytics,2024/2025,SEM2,6,21,83.5,7,6,1,1,0,0,18.0,3.0,3.98,118,110.0,506.5,4.29
J22B44/012,A11020,Bachelor of Science in Data Science and Analytics,2025/2026,SEM1,7,18,78.5,6,6,0,0,0,0,18.0,0.0,4.36,136,128.0,585.0,4.3
J22B44/012,A11020,Bachelor of Science in Data Science and Analytics,2025/2026,SEM2,8,21,92.0,7,7,0,0,0,0,21.0,0.0,4.38,157,149.0,677.0,4.31
J22B45/001,A10818,Bachelor of Science in Computer Science,2022/2023,SEM1,1,18,72.5,6,6,0,0,0,0,18.0,0.0,4.03,18,18.0,72.5,4.03
J22B45/001,A10818,Bachelor of Science in Computer Science,2022/2023,SEM2,2,22,100.5,7,7,0,0,0,0,22.0,0.0,4.57,40,40.0,173.0,4.32
J22B45/001,A10818,Bachelor of Science in Computer Science,2023/2024,SEM1,3,19,81.0,6,6,0,0,0,0,19.0,0.0,4.26,59,59.0,254.0,4.31
J22B45/001,A10818,Bachelor of Science in Computer Science,2023/2024,SEM2,4,20,84.5,7,7,0,0,0,0,20.0,0.0,4.22,79,79.0,338.5,4.28
J22B45/001,A10818,Bachelor of Science in Computer Science,2024/2025,SEM1,5,18,68.0,6,6,0,0,0,0,18.0,0.0,3.78,97,97.0,406.5,4.19
J22B45/001,A10818,Bachelor of Science in Computer Science,2024/2025,SEM2,6,21,77.5,7,6,1,1,0,0,17.0,4.0,3.69,118,114.0,484.0,4.1
J22B45/001,A10818,Bachelor of Science in Computer Science,2025/2026,SEM1,7,18,64.0,6,5,1,1,0,0,14.0,4.0,3.56,136,128.0,548.0,4.03
J22B45/001,A10818,Bachelor of Science in Computer Science,2025/2026,SEM2,8,21,75.0,7,6,1,0,1,0,17.0,4.0,3.57,157,145.0,623.0,3.97
J22B45/003,A10840,Bachelor of Science in Computer Science,2022/2023,SEM1,1,18,55.5,6,6,0,0,0,0,18.0,0.0,3.08,18,18.0,55.5,3.08
J22B45/003,A10840,Bachelor of Science in Computer Science,2022/2023,SEM2,2,22,57.5,7,6,1,0,1,0,18.0,4.0,2.61,40,36.0,113.0,2.82
J22B45/003,A10840,Bachelor of Science in Computer Science,2023/2024,SEM1,3,19,36.0,6,3,3,0,2,1,9.0,10.0,1.89,59,45.0,149.0,2.53
J22B45/003,A10840,Bachelor of Science in Computer Science,2023/2024,SEM2,4,20,72.0,7,5,2,1,1,0,15.0,5.0,3.6,79,60.0,221.0,2.8
J22B45/003,A10840,Bachelor of Science in Computer Science,2024/2025,SEM1,5,18,43.0,6,4,2,0,2,0,11.0,7.0,2.39,97,71.0,264.0,2.72
J22B45/003,A10840,Bachelor of Science in Computer Science,2024/2025,SEM2,6,21,64.5,7,5,2,0,2,0,15.0,6.0,3.07,118,86.0,328.5,2.78
J22B45/003,A10840,Bachelor of Science in Computer Science,2025/2026,SEM1,7,18,44.5,6,5,1,0,1,0,16.0,2.0,2.47,136,102.0,373.0,2.74
J22B45/003,A10840,Bachelor of Science in Computer Science,2025/2026,SEM2,8,21,48.0,7,5,2,1,1,0,15.0,6.0,2.29,157,117.0,421.0,2.68
J22B45/006,A10913,Bachelor of Science in Computer Science,2022/2023,SEM1,1,18,39.5,6,3,3,1,2,0,10.0,8.0,2.19,18,10.0,39.5,2.19
J22B45/006,A10913,Bachelor of Science in Computer Science,2022/2023,SEM2,2,22,61.5,7,6,1,0,1,0,18.0,4.0,2.8,40,28.0,101.0,2.52
J22B45/006,A10913,Bachelor of Science in Computer Science,2023/2024,SEM1,3,19,44.0,6,3,3,1,2,0,10.0,9.0,2.32,59,38.0,145.0,2.46
J22B45/006,A10913,Bachelor of Science in Computer Science,2023/2024,SEM2,4,20,72.0,7,7,0,0,0,0,20.0,0.0,3.6,79,58.0,217.0,2.75
J22B45/006,A10913,Bachelor of Science in Computer Science,2024/2025,SEM1,5,18,43.5,6,4,2,0,2,0,12.0,6.0,2.42,97,70.0,260.5,2.69
J22B45/006,A10913,Bachelor of Science in Computer Science,2024/2025,SEM2,6,21,39.0,7,2,5,1,4,0,6.0,15.0,1.86,118,76.0,299.5,2.54
J22B45/006,A10913,Bachelor of Science in Computer Science,2025/2026,SEM1,7,18,63.5,6,6,0,0,0,0,18.0,0.0,3.53,136,94.0,363.0,2.67
J22B45/006,A10913,Bachelor of Science in Computer Science,2025/2026,SEM2,8,21,52.5,7,5,2,0,2,0,15.0,6.0,2.5,157,109.0,415.5,2.65
J22B46/001,A11070,Bachelor of Science in Information Technology,2022/2023,SEM1,1,21,68.0,7,5,2,0,2,0,15.0,6.0,3.24,21,15.0,68.0,3.24
J22B46/001,A11070,Bachelor of Science in Information Technology,2022/2023,SEM2,2,18,47.5,6,3,3,0,2,1,10.0,8.0,2.64,39,25.0,115.5,2.96
J22B46/001,A11070,Bachelor of Science in Information Technology,2023/2024,SEM1,3,21,59.0,7,5,2,0,2,0,16.0,5.0,2.81,60,41.0,174.5,2.91
J22B46/001,A11070,Bachelor of Science in Information Technology,2023/2024,SEM2,4,17,57.5,6,5,1,1,0,0,14.0,3.0,3.38,77,55.0,232.0,3.01
J22B46/001,A11070,Bachelor of Science in Information Technology,2024/2025,SEM1,5,21,54.5,7,5,2,0,2,0,14.0,7.0,2.6,98,69.0,286.5,2.92
J22B46/001,A11070,Bachelor of Science in Information Technology,2024/2025,SEM2,6,18,40.5,6,2,4,1,2,1,6.0,12.0,2.25,116,75.0,327.0,2.82
J22B46/001,A11070,Bachelor of Science in Information Technology,2025/2026,SEM1,7,22,60.5,7,4,3,1,1,1,13.0,9.0,2.75,138,88.0,387.5,2.81
J22B46/001,A11070,Bachelor of Science in Information Technology,2025/2026,SEM2,8,19,52.0,6,5,1,0,1,0,15.0,4.0,2.74,157,103.0,439.5,2.8
J22B46/003,A11099,Bachelor of Science in Information Technology,2022/2023,SEM1,1,21,74.0,7,6,1,0,1,0,19.0,2.0,3.52,21,19.0,74.0,3.52
J22B46/003,A11099,Bachelor of Science in Information Technology,2022/2023,SEM2,2,18,66.0,6,5,1,1,0,0,15.0,3.0,3.67,39,34.0,140.0,3.59
J22B46/003,A11099,Bachelor of Science in Information Technology,2023/2024,SEM1,3,21,58.0,7,4,3,2,1,0,12.0,9.0,2.76,60,46.0,198.0,3.3
J22B46/003,A11099,Bachelor of Science in Information Technology,2023/2024,SEM2,4,17,46.0,6,4,2,1,1,0,11.0,6.0,2.71,77,57.0,244.0,3.17
J22B46/003,A11099,Bachelor of Science in Information Technology,2024/2025,SEM1,5,21,70.0,7,6,1,1,0,0,18.0,3.0,3.33,98,75.0,314.0,3.2
J22B46/003,A11099,Bachelor of Science in Information Technology,2024/2025,SEM2,6,18,64.5,6,6,0,0,0,0,18.0,0.0,3.58,116,93.0,378.5,3.26
J22B46/003,A11099,Bachelor of Science in Information Technology,2025/2026,SEM1,7,22,59.5,7,4,3,0,3,0,14.0,8.0,2.7,138,107.0,438.0,3.17
J22B46/003,A11099,Bachelor of Science in Information Technology,2025/2026,SEM2,8,19,47.5,6,3,3,1,1,1,10.0,9.0,2.5,157,117.0,485.5,3.09
J22B46/005,A11119,Bachelor of Science in Information Technology,2022/2023,SEM1,1,21,84.0,7,6,1,0,1,0,18.0,3.0,4.0,21,18.0,84.0,4.0
J22B46/005,A11119,Bachelor of Science in Information Technology,2022/2023,SEM2,2,18,84.0,6,6,0,0,0,0,18.0,0.0,4.67,39,36.0,168.0,4.31
J22B46/005,A11119,Bachelor of Science in Information Technology,2023/2024,SEM1,3,21,97.0,7,7,0,0,0,0,21.0,0.0,4.62,60,57.0,265.0,4.42
J22B46/005,A11119,Bachelor of Science in Information Technology,2023/2024,SEM2,4,17,65.5,6,4,2,1,0,1,12.0,5.0,3.85,77,69.0,330.5,4.29
J22B46/005,A11119,Bachelor of Science in Information Technology,2024/2025,SEM1,5,21,87.0,7,6,1,1,0,0,18.0,3.0,4.14,98,87.0,417.5,4.26
J22B46/005,A11119,Bachelor of Science in Information Technology,2024/2025,SEM2,6,18,86.0,6,6,0,0,0,0,18.0,0.0,4.78,116,105.0,503.5,4.34
J22B46/005,A11119,Bachelor of Science in Information Technology,2025/2026,SEM1,7,22,99.5,7,7,0,0,0,0,22.0,0.0,4.52,138,127.0,603.0,4.37
J22B46/005,A11119,Bachelor of Science in Information Technology,2025/2026,SEM2,8,19,79.0,6,6,0,0,0,0,19.0,0.0,4.16,157,146.0,682.0,4.34
J22B46/008,A11127,Bachelor of Science in Information Technology,2022/2023,SEM1,1,21,69.0,7,6,1,0,1,0,18.0,3.0,3.29,21,18.0,69.0,3.29
J22B46/008,A11127,Bachelor of Science in Information Technology,2022/2023,SEM2,2,18,71.0,6,6,0,0,0,0,18.0,0.0,3.94,39,36.0,140.0,3.59
J22B46/008,A11127,Bachelor of Science in Information Technology,2023/2024,SEM1,3,21,45.5,7,4,3,1,2,0,10.0,11.0,2.17,60,46.0,185.5,3.09
J22B46/008,A11127,Bachelor of Science in Information Technology,2023/2024,SEM2,4,17,51.5,6,5,1,0,0,1,14.0,3.0,3.03,77,60.0,237.0,3.08
J22B46/008,A11127,Bachelor of Science in Information Technology,2024/2025,SEM1,5,21,70.5,7,6,1,0,0,1,18.0,3.0,3.36,98,78.0,307.5,3.14
J22B46/008,A11127,Bachelor of Science in Information Technology,2024/2025,SEM2,6,18,61.5,6,5,1,0,1,0,15.0,3.0,3.42,116,93.0,369.0,3.18
J22B46/008,A11127,Bachelor of Science in Information Technology,2025/2026,SEM1,7,22,84.5,7,6,1,0,0,1,19.0,3.0,3.84,138,112.0,453.5,3.29
J22B46/008,A11127,Bachelor of Science in Information Technology,2025/2026,SEM2,8,19,73.5,6,6,0,0,0,0,19.0,0.0,3.87,157,131.0,527.0,3.36
J22B46/011,A11145,Bachelor of Science in Information Technology,2022/2023,SEM1,1,21,57.0,7,4,3,1,2,0,13.0,8.0,2.71,21,13.0,57.0,2.71
J22B46/011,A11145,Bachelor of Science in Information Technology,2022/2023,SEM2,2,18,36.5,6,3,3,0,3,0,9.0,9.0,2.03,39,22.0,93.5,2.4
J22B46/011,A11145,Bachelor of Science in Information Technology,2023/2024,SEM1,3,21,37.5,7,2,5,0,5,0,6.0,15.0,1.79,60,28.0,131.0,2.18
J22B46/011,A11145,Bachelor of Science in Information Technology,2023/2024,SEM2,4,17,29.5,6,2,4,0,3,1,5.0,12.0,1.74,77,33.0,160.5,2.08
J22B46/011,A11145,Bachelor of Science in Information Technology,2024/2025,SEM1,5,21,49.0,7,3,4,0,4,0,10.0,11.0,2.33,98,43.0,209.5,2.14
J22B46/011,A11145,Bachelor of Science in Information Technology,2024/2025,SEM2,6,18,39.0,6,2,4,0,4,0,6.0,12.0,2.17,116,49.0,248.5,2.14
J22B46/011,A11145,Bachelor of Science in Information Technology,2025/2026,SEM1,7,22,36.0,7,1,6,0,6,0,3.0,19.0,1.64,138,52.0,284.5,2.06
J22B46/011,A11145,Bachelor of Science in Information Technology,2025/2026,SEM2,8,19,37.5,6,2,4,0,4,0,6.0,13.0,1.97,157,58.0,322.0,2.05
J22B49/001,A11824,Bachelor of Visual Art and Design,2022/2023,SEM1,1,18,86.0,6,6,0,0,0,0,18.0,0.0,4.78,18,18.0,86.0,4.78
J22B49/001,A11824,Bachelor of Visual Art and Design,2022/2023,SEM2,2,22,107.5,7,7,0,0,0,0,22.0,0.0,4.89,40,40.0,193.5,4.84
J22B49/001,A11824,Bachelor of Visual Art and Design,2023/2024,SEM1,3,19,60.0,6,3,3,2,0,1,9.0,10.0,3.16,59,49.0,253.5,4.3
J22B49/001,A11824,Bachelor of Visual Art and Design,2023/2024,SEM2,4,20,85.5,7,7,0,0,0,0,20.0,0.0,4.28,79,69.0,339.0,4.29
J22B49/001,A11824,Bachelor of Visual Art and Design,2024/2025,SEM1,5,18,80.0,6,6,0,0,0,0,18.0,0.0,4.44,97,87.0,419.0,4.32
J22B49/001,A11824,Bachelor of Visual Art and Design,2024/2025,SEM2,6,21,64.0,7,5,2,1,0,1,15.0,6.0,3.05,118,102.0,483.0,4.09
J22B49/001,A11824,Bachelor of Visual Art and Design,2025/2026,SEM1,7,18,73.0,6,5,1,1,0,0,14.0,4.0,4.06,136,116.0,556.0,4.09
J22B49/001,A11824,Bachelor of Visual Art and Design,2025/2026,SEM2,8,21,91.5,7,7,0,0,0,0,21.0,0.0,4.36,157,137.0,647.5,4.12
J22B49/003,A11857,Bachelor of Visual Art and Design,2022/2023,SEM1,1,18,55.5,6,5,1,0,1,0,15.0,3.0,3.08,18,15.0,55.5,3.08
J22B49/003,A11857,Bachelor of Visual Art and Design,2022/2023,SEM2,2,22,64.5,7,5,2,0,2,0,16.0,6.0,2.93,40,31.0,120.0,3.0
J22B49/003,A11857,Bachelor of Visual Art and Design,2023/2024,SEM1,3,19,57.5,6,5,1,1,0,0,16.0,3.0,3.03,59,47.0,177.5,3.01
J22B49/003,A11857,Bachelor of Visual Art and Design,2023/2024,SEM2,4,20,66.0,7,6,1,0,0,1,17.0,3.0,3.3,79,64.0,243.5,3.08
J22B49/003,A11857,Bachelor of Visual Art and Design,2024/2025,SEM1,5,18,62.5,6,6,0,0,0,0,18.0,0.0,3.47,97,82.0,306.0,3.15
J22B49/003,A11857,Bachelor of Visual Art and Design,2024/2025,SEM2,6,21,50.0,7,3,4,1,3,0,8.0,13.0,2.38,118,90.0,356.0,3.02
J22B49/003,A11857,Bachelor of Visual Art and Design,2025/2026,SEM1,7,18,55.5,6,4,2,1,1,0,12.0,6.0,3.08,136,102.0,411.5,3.03
J22B49/003,A11857,Bachelor of Visual Art and Design,2025/2026,SEM2,8,21,65.5,7,7,0,0,0,0,21.0,0.0,3.12,157,123.0,477.0,3.04
J22B49/006,A11886,Bachelor of Visual Art and Design,2022/2023,SEM1,1,18,63.5,6,5,1,1,0,0,15.0,3.0,3.53,18,15.0,63.5,3.53
J22B49/006,A11886,Bachelor of Visual Art and Design,2022/2023,SEM2,2,22,64.5,7,6,1,0,1,0,19.0,3.0,2.93,40,34.0,128.0,3.2
J22B49/006,A11886,Bachelor of Visual Art and Design,2023/2024,SEM1,3,19,57.0,6,5,1,0,0,1,15.0,4.0,3.0,59,49.0,185.0,3.14
J22B49/006,A11886,Bachelor of Visual Art and Design,2023/2024,SEM2,4,20,70.0,7,7,0,0,0,0,20.0,0.0,3.5,79,69.0,255.0,3.23
J22B49/006,A11886,Bachelor of Visual Art and Design,2024/2025,SEM1,5,18,76.5,6,6,0,0,0,0,18.0,0.0,4.25,97,87.0,331.5,3.42
J22B49/006,A11886,Bachelor of Visual Art and Design,2024/2025,SEM2,6,21,56.0,7,4,3,1,2,0,11.0,10.0,2.67,118,98.0,387.5,3.28
J22B49/006,A11886,Bachelor of Visual Art and Design,2025/2026,SEM1,7,18,51.0,6,4,2,1,1,0,11.0,7.0,2.83,136,109.0,438.5,3.22
J22B49/006,A11886,Bachelor of Visual Art and Design,2025/2026,SEM2,8,21,78.5,7,6,1,0,1,0,18.0,3.0,3.74,157,127.0,517.0,3.29
J22B49/008,A11921,Bachelor of Visual Art and Design,2022/2023,SEM1,1,18,79.0,6,6,0,0,0,0,18.0,0.0,4.39,18,18.0,79.0,4.39
J22B49/008,A11921,Bachelor of Visual Art and Design,2022/2023,SEM2,2,22,75.0,7,6,1,0,0,1,19.0,3.0,3.41,40,37.0,154.0,3.85
J22B49/008,A11921,Bachelor of Visual Art and Design,2023/2024,SEM1,3,19,57.5,6,4,2,1,1,0,12.0,7.0,3.03,59,49.0,211.5,3.58
J22B49/008,A11921,Bachelor of Visual Art and Design,2023/2024,SEM2,4,20,62.0,7,5,2,2,0,0,14.0,6.0,3.1,79,63.0,273.5,3.46
J22B49/008,A11921,Bachelor of Visual Art and Design,2024/2025,SEM1,5,18,65.5,6,6,0,0,0,0,18.0,0.0,3.64,97,81.0,339.0,3.49
J22B49/008,A11921,Bachelor of Visual Art and Design,2024/2025,SEM2,6,21,86.0,7,6,1,1,0,0,18.0,3.0,4.1,118,99.0,425.0,3.6
J22B49/008,A11921,Bachelor of Visual Art and Design,2025/2026,SEM1,7,18,67.5,6,5,1,1,0,0,15.0,3.0,3.75,136,114.0,492.5,3.62
J22B49/008,A11921,Bachelor of Visual Art and Design,2025/2026,SEM2,8,21,81.0,7,7,0,0,0,0,21.0,0.0,3.86,157,135.0,573.5,3.65
J22B50/001,A11711,Bachelor of Art in Graphic Design and Animation,2022/2023,SEM1,1,21,71.0,7,7,0,0,0,0,21.0,0.0,3.38,21,21.0,71.0,3.38
J22B50/001,A11711,Bachelor of Art in Graphic Design and Animation,2022/2023,SEM2,2,18,61.5,6,4,2,1,1,0,13.0,5.0,3.42,39,34.0,132.5,3.4
J22B50/001,A11711,Bachelor of Art in Graphic Design and Animation,2023/2024,SEM1,3,21,68.0,7,5,2,1,1,0,15.0,6.0,3.24,60,49.0,200.5,3.34
J22B50/001,A11711,Bachelor of Art in Graphic Design and Animation,2023/2024,SEM2,4,17,58.5,6,6,0,0,0,0,17.0,0.0,3.44,77,66.0,259.0,3.36
J22B50/001,A11711,Bachelor of Art in Graphic Design and Animation,2024/2025,SEM1,5,21,83.5,7,6,1,1,0,0,18.0,3.0,3.98,98,84.0,342.5,3.49
J22B50/001,A11711,Bachelor of Art in Graphic Design and Animation,2024/2025,SEM2,6,18,63.5,6,5,1,0,1,0,15.0,3.0,3.53,116,99.0,406.0,3.5
J22B50/001,A11711,Bachelor of Art in Graphic Design and Animation,2025/2026,SEM1,7,22,72.0,7,6,1,0,1,0,18.0,4.0,3.27,138,117.0,478.0,3.46
J22B50/001,A11711,Bachelor of Art in Graphic Design and Animation,2025/2026,SEM2,8,19,66.0,6,5,1,0,1,0,15.0,4.0,3.47,157,132.0,544.0,3.46
J22B50/003,A11718,Bachelor of Art in Graphic Design and Animation,2022/2023,SEM1,1,21,67.0,7,5,2,1,1,0,15.0,6.0,3.19,21,15.0,67.0,3.19
J22B50/003,A11718,Bachelor of Art in Graphic Design and Animation,2022/2023,SEM2,2,18,63.5,6,6,0,0,0,0,18.0,0.0,3.53,39,33.0,130.5,3.35
J22B50/003,A11718,Bachelor of Art in Graphic Design and Animation,2023/2024,SEM1,3,21,54.5,7,5,2,1,1,0,13.0,8.0,2.6,60,46.0,185.0,3.08
J22B50/003,A11718,Bachelor of Art in Graphic Design and Animation,2023/2024,SEM2,4,17,54.5,6,6,0,0,0,0,17.0,0.0,3.21,77,63.0,239.5,3.11
J22B50/003,A11718,Bachelor of Art in Graphic Design and Animation,2024/2025,SEM1,5,21,64.0,7,5,2,0,2,0,14.0,7.0,3.05,98,77.0,303.5,3.1
J22B50/003,A11718,Bachelor of Art in Graphic Design and Animation,2024/2025,SEM2,6,18,58.0,6,5,1,0,1,0,15.0,3.0,3.22,116,92.0,361.5,3.12
J22B50/003,A11718,Bachelor of Art in Graphic Design and Animation,2025/2026,SEM1,7,22,57.0,7,4,3,0,3,0,11.0,11.0,2.59,138,103.0,418.5,3.03
J22B50/003,A11718,Bachelor of Art in Graphic Design and Animation,2025/2026,SEM2,8,19,43.5,6,3,3,0,3,0,9.0,10.0,2.29,157,112.0,462.0,2.94
J22B50/007,A11763,Bachelor of Art in Graphic Design and Animation,2022/2023,SEM1,1,21,70.5,7,7,0,0,0,0,21.0,0.0,3.36,21,21.0,70.5,3.36
J22B50/007,A11763,Bachelor of Art in Graphic Design and Animation,2022/2023,SEM2,2,18,72.5,6,6,0,0,0,0,18.0,0.0,4.03,39,39.0,143.0,3.67
J22B50/007,A11763,Bachelor of Art in Graphic Design and Animation,2023/2024,SEM1,3,21,60.0,7,5,2,1,1,0,15.0,6.0,2.86,60,54.0,203.0,3.38
