payment_id,student_id,payment_date,year,amount,tuition_national,tuition_international,functional_fees,payment_method,status,semester
PAY000001,M22B01/001,2024-09-15,2026,1903184.0,1818000.0,0.0,983000.0,Credit Card,Pending,May (Trinity Semester)
PAY000002,M21B01/001,2025-03-27,2024,1790333.0,1818000.0,0.0,983000.0,Bank Transfer,Pending,Jan (Easter Semester)
PAY000003,M21B01/001,2024-03-18,2026,1391086.0,1818000.0,0.0,983000.0,Mobile Money,Failed,September (Advent)
PAY000004,S23B01/001,2025-08-25,2026,1359619.0,1818000.0,0.0,983000.0,Mobile Money,Failed,Jan (Easter Semester)
PAY000005,S24B01/001,2023-03-29,2025,2616103.0,0.0,2727000.0,983000.0,Bank Transfer,Pending,September (Advent)
PAY000006,S24B01/001,2024-12-15,2025,1964110.0,0.0,2727000.0,983000.0,Cash,Pending,May (Trinity Semester)
PAY000007,M21B01/002,2023-08-28,2025,2603958.0,0.0,2727000.0,983000.0,Mobile Money,Pending,Jan (Easter Semester)
PAY000008,M21B01/002,2024-06-08,2026,3185939.0,0.0,2727000.0,983000.0,Cash,Pending,September (Advent)
PAY000009,M21B01/002,2026-01-28,2026,3502677.0,0.0,2727000.0,983000.0,Cash,Pending,September (Advent)
PAY000010,M21B01/002,2023-12-11,2024,2992789.0,0.0,2727000.0,983000.0,Bank Transfer,Pending,Jan (Easter Semester)
PAY000011,M21B01/002,2025-08-11,2024,2249424.0,0.0,2727000.0,983000.0,Bank Transfer,Pending,May (Trinity Semester)
PAY000012,M21B01/002,2023-10-25,2025,2677156.0,0.0,2727000.0,983000.0,Mobile Money,Pending,May (Trinity Semester)
PAY000013,J22B01/001,2023-04-28,2024,1040112.0,1818000.0,0.0,983000.0,Cash,Failed,May (Trinity Semester)
PAY000014,J22B01/001,2023-11-09,2025,1609583.0,1818000.0,0.0,983000.0,Mobile Money,Pending,Jan (Easter Semester)
PAY000015,M23B01/001,2023-07-04,2026,1503509.0,1818000.0,0.0,983000.0,Credit Card,Pending,May (Trinity Semester)
PAY000016,M23B01/001,2023-07-19,2024,2474040.0,1818000.0,0.0,983000.0,Mobile Money,Pending,Jan (Easter Semester)
PAY000017,M23B01/001,2024-11-05,2026,2435028.0,1818000.0,0.0,983000.0,Bank Transfer,Pending,September (Advent)
PAY000018,M23B01/001,2024-08-17,2023,2097909.0,1818000.0,0.0,983000.0,Cash,Pending,May (Trinity Semester)
PAY000019,M22B01/002,2024-03-03,2025,2629569.0,1818000.0,0.0,983000.0,Bank Transfer,Pending,September (Advent)
PAY000020,M22B01/002,2023-08-08,2026,1072996.0,1818000.0,0.0,983000.0,Cash,Failed,September (Advent)
