grade_id,student_id,course_code,coursework_score,exam_score,grade,letter_grade,fcw,exam_status,absence_reason,semester,year,exam_date
GRD000001,S22B01/001,COURSE116,58.71,68.74,62.72,C,False,Completed,,September 2024 (Advent),2024,2024-10-01
GRD000002,S22B01/001,COURSE048,89.42,76.34,84.19,A,False,Completed,,May 2024 (Trinity Semester),2024,2024-03-27
GRD000003,S22B01/001,COURSE147,68.1,76.08,71.29,B,False,Completed,,May 2024 (Trinity Semester),2025,2025-09-28
GRD000004,S22B01/001,COURSE150,77.15,48.83,65.82,C,False,Completed,,September 2024 (Advent),2024,2024-09-11
GRD000005,S22B01/001,COURSE034,65.63,,39.38,MEX,False,MEX,Tuition fee arrears - unable to sit exam,September 2023 (Advent),2024,2024-05-30
GRD000006,S22B01/001,COURSE104,100.0,83.19,93.28,A,False,Completed,,May 2022 (Trinity Semester),2023,2023-12-13
GRD000007,S22B01/001,COURSE198,57.45,55.95,56.85,D,False,Completed,,September 2025 (Advent),2025,2025-11-25
GRD000008,S21B01/001,COURSE174,55.45,77.99,64.47,C,False,Completed,,May 2022 (Trinity Semester),2023,2023-04-03
GRD000009,S21B01/001,COURSE048,89.11,73.73,82.96,A,False,Completed,,September 2025 (Advent),2025,2025-01-04
GRD000010,S21B01/001,COURSE038,67.36,58.34,63.75,C,False,Completed,,May 2023 (Trinity Semester),2023,2023-12-10
GRD000011,S21B01/001,COURSE040,69.94,52.7,63.04,C,False,Completed,,Jan 2023 (Easter Semester),2024,2024-07-16
GRD000012,J24B01/001,COURSE200,35.96,89.55,57.4,D,False,Completed,,Jan 2024 (Easter Semester),2025,2025-08-01
GRD000013,J24B01/001,COURSE039,49.91,60.13,54.0,D,False,Completed,,Jan 2023 (Easter Semester),2023,2023-03-08
GRD000014,J24B01/001,COURSE089,74.85,86.52,79.52,B+,False,Completed,,Jan 2024 (Easter Semester),2025,2025-07-17
GRD000015,J24B01/001,COURSE179,68.86,47.09,60.15,C,False,Completed,,Jan 2023 (Easter Semester),2023,2023-07-28
